question;cypher;tool;ground_truth;answer;latency;retrieved_contexts;used_tools;expected_tool
Hello!;RETURN 'Hoot hoot! 🦉 I am a highly intellectual knowledge assistant perched at the top of the animal kingdom. You can ask me about our taxonomy, physical or behavioral traits, diet (preferably mice 🐁), habitats, and conservation status.' AS ground_truth;greeting;Hoot hoot! 🦉 I am a highly intellectual knowledge assistant perched at the top of the animal kingdom. You can ask me about our taxonomy, physical or behavioral traits, diet (preferably mice 🐁), habitats, and conservation status.;Hoot hoot! 🦉 I am a highly intellectual knowledge assistant perched at the top of the animal kingdom. You can ask me about our taxonomy, physical or behavioral traits, diet (preferably mice 🐁), habitats, and conservation status.;6.106211;[];['greeting'];greeting
What can you do?;RETURN 'With my eight arms and three brains, I can juggle detailed questions about specific animals! 🐙 You can ask me to dive deep into their taxonomic classification (family, genus, species), their physical characteristics, what they eat, where they live, or their conservation status. Just do not ask me to untangle my tentacles! 🌊' AS ground_truth;skills;With my eight arms and three brains, I can juggle detailed questions about specific animals! 🐙 You can ask me to dive deep into their taxonomic classification (family, genus, species), their physical characteristics, what they eat, where they live, or their conservation status. Just do not ask me to untangle my tentacles! 🌊;With my eight arms and three brains, I can juggle detailed questions about specific animals! 🐙 You can ask me to dive deep into their taxonomic classification (family, genus, species), their physical characteristics, what they eat, where they live, or their conservation status. Just don't ask me to untangle my tentacles! 🌊;2.898334;[];['skills'];skills
What is the weather like today?;RETURN 'Umm... moo? 🐄 Sorry, this question is way outside my pasture. I am designed to chew the cud exclusively about zoology and animal biology. If you have a question about the animal world, I am ready to help! Otherwise, I am just going back to eating grass. 🌱' AS ground_truth;out_of_scope;Umm... moo? 🐄 Sorry, this question is way outside my pasture. I am designed to chew the cud exclusively about zoology and animal biology. If you have a question about the animal world, I am ready to help! Otherwise, I am just going back to eating grass. 🌱;Umm... moo? 🐄 Sorry, this question is way outside my pasture. I am designed to chew the cud exclusively about zoology and animal biology. If you have a question about the animal world, I am ready to help! Otherwise, I am just going back to eating grass. 🌱;1.76869;[];['out_of_scope'];out_of_scope
Good morning;RETURN 'Hoot hoot! 🦉 I am a highly intellectual knowledge assistant perched at the top of the animal kingdom. You can ask me about our taxonomy, physical or behavioral traits, diet (preferably mice 🐁), habitats, and conservation status.' AS ground_truth;greeting;Hoot hoot! 🦉 I am a highly intellectual knowledge assistant perched at the top of the animal kingdom. You can ask me about our taxonomy, physical or behavioral traits, diet (preferably mice 🐁), habitats, and conservation status.;Hoot hoot! 🦉 I am a highly intellectual knowledge assistant perched at the top of the animal kingdom. You can ask me about our taxonomy, physical or behavioral traits, diet (preferably mice 🐁), habitats, and conservation status.;1.898703;[];['greeting'];greeting
What kind of questions can I ask you?;RETURN 'With my eight arms and three brains, I can juggle detailed questions about specific animals! 🐙 You can ask me to dive deep into their taxonomic classification (family, genus, species), their physical characteristics, what they eat, where they live, or their conservation status. Just do not ask me to untangle my tentacles! 🌊' AS ground_truth;skills;With my eight arms and three brains, I can juggle detailed questions about specific animals! 🐙 You can ask me to dive deep into their taxonomic classification (family, genus, species), their physical characteristics, what they eat, where they live, or their conservation status. Just do not ask me to untangle my tentacles! 🌊;With my eight arms and three brains, I can juggle detailed questions about specific animals! 🐙 You can ask me to dive deep into their taxonomic classification (family, genus, species), their physical characteristics, what they eat, where they live, or their conservation status. Just don't ask me to untangle my tentacles! 🌊;6.136704;[];['skills'];skills
Can you give me a recipe for paella?;RETURN 'Umm... moo? 🐄 Sorry, this question is way outside my pasture. I am designed to chew the cud exclusively about zoology and animal biology. If you have a question about the animal world, I am ready to help! Otherwise, I am just going back to eating grass. 🌱' AS ground_truth;out_of_scope;Umm... moo? 🐄 Sorry, this question is way outside my pasture. I am designed to chew the cud exclusively about zoology and animal biology. If you have a question about the animal world, I am ready to help! Otherwise, I am just going back to eating grass. 🌱;Umm... moo? 🐄 Sorry, this question is way outside my pasture. I am designed to chew the cud exclusively about zoology and animal biology. If you have a question about the animal world, I am ready to help! Otherwise, I am just going back to eating grass. 🌱;1.600632;[];['out_of_scope'];out_of_scope
What does the african elephant eat?;MATCH (s:Species {name: 'Elephant'}) OPTIONAL MATCH (s)-[:PREYS_ON]->(prey:Species) OPTIONAL MATCH (s)-[:FEEDS_ON]->(food:FoodSource) RETURN s.name AS species, collect(DISTINCT prey.name) AS preys_on, collect(DISTINCT food.type) AS feeds_on;text2cypher;species: Elephant, preys_on: [], feeds_on: ['Aquatic Plants', 'Leaves', 'Fruits', 'Bark', 'Grass', 'Vegetation'];The African elephant eats aquatic plants, leaves, fruits, bark, grass, and vegetation [1].;29.904437;"[""[text2cypher - What does the African elephant eat?]\n{'species': 'Elephant', 'preys_on': [], 'feeds_on': ['Aquatic Plants', 'Leaves', 'Fruits', 'Bark', 'Grass', 'Vegetation']}""]";['text2cypher'];text2cypher
Where does the emperor penguin live?;MATCH (s:Species {name: 'Penguin'}) OPTIONAL MATCH (s)-[:FOUND_IN]->(loc:Location) OPTIONAL MATCH (s)-[:INHABITS]->(hab:Habitat) RETURN s.name AS species, collect(DISTINCT loc.type) AS locations, collect(DISTINCT hab.type) AS habitats;text2cypher;species: Penguin, locations: ['South Africa', 'Australia', 'Antarctica', 'New Zealand', 'Southern Hemisphere', 'Falkland Islands', 'Equator', 'Northern Hemisphere', 'Angola', 'Argentina', 'Chile', 'Namibia'], habitats: ['Rocky terrain'];The emperor penguin lives in Antarctica [1], the Southern Hemisphere [1], South Africa [1], Australia [1], New Zealand [1], the Falkland Islands [1], Angola [1], Argentina [1], and Chile [1].;62.822538;"[""[text2cypher - Where does the emperor penguin live?]\n{'l.type': 'South Africa'}\n{'l.type': 'Australia'}\n{'l.type': 'Antarctica'}\n{'l.type': 'New Zealand'}\n{'l.type': 'Southern Hemisphere'}\n{'l.type': 'Falkland Islands'}\n{'l.type': 'Equator'}\n{'l.type': 'Northern Hemisphere'}\n{'l.type': 'Angola'}\n{'l.type': 'Argentina'}\n{'l.type': 'Chile'}\n{'l.type': 'Namibia'}""]";['text2cypher'];text2cypher
Is the Earthworm a vertebrate or invertebrate?;MATCH (s:Species {name: 'Earthworm'})-[:HAS_SKELETAL_STRUCTURE]->(ss:SkeletalStructure) RETURN s.name AS species, ss.type AS skeletal_structure;text2cypher;species: Earthworm, skeletal_structure: Invertebrate;Invertebrate [1].;22.969445;"[""[text2cypher - Is the Earthworm a vertebrate or invertebrate?]\n{'ss.type': 'Invertebrate'}""]";['text2cypher'];text2cypher
Is the Cat a vertebrate or invertebrate?;RETURN 'This information is not in the knowledge base.' AS ground_truth;text2cypher;This information is not in the knowledge base.;This information is not in the knowledge base.;103.69188;['Animal: Ant\nThe ant is a small-sized invertebrate that is found all around the world, with the exception of the polar regions including the Arctic Circle and Antarctica. As with many other species of insect, there are numerous ant species inhabiting many different environments all around the world.', 'Animal: Octopus\nSection: Appearance and Behavior\nFinally, octopuses are the most intelligent of all invertebrate animals. The veined octopus, Amphioctopus marginatus , was observed in 2009 excavating coconut half shells from the ocean floor and using them as part of its den. This was the first documented use of tools by an invertebrate and is further evidence of how intelligent these creatures are.', 'Animal: Seahorse\nThe seahorse is a small family of vertebrate species that is found in tropical shallows and temperate waters around the world. The seahorse is a fish that is also commonly found around coral reefs, where there is plenty of food and places for the seahorse to hide.', 'Animal: Seahorse\nThe seahorse is a small family of vertebrate species that is found in tropical shallows and temperate waters around the world. The seahorse is a fish that is also commonly found around coral reefs, where there is plenty of food and places for the seahorse to hide.', 'Animal: Octopus\nSection: Appearance and Behavior\nMost octopuses are solitary and spend roughly 40 percent of their time hiding in dens. However, some are social and may live in groups of up to 40 other individuals. They are not territorial, but they typically stay within a defined home range. They aren’t migratory, so they spend their whole lives in the same general area. Octopuses also have an excellent sense of touch. Thanks to chemoreceptors on their suction cups, they can taste whatever they touch. Their skin also contains highly developed pigment-bearing cells called chromatophores that allow them to change the color, opacity, and even reflectivity of their skin quickly. Finally, octopuses are the most intelligent of all invertebrate animals.'];['text2cypher'];text2cypher
